(The  	paper	  admits that the figure cannot be checked independently.)	paper%1:10:03::	paper#n#3
A  	warm	  profile of playwright Wendy Wasserstein, whose new Broadway play opens this month, depicts her as an establishment figure who still thinks of herself as an outsider.	warm%3:00:02::	warm#a#2
A more  	common	  question might surely be "How can I get her to stop talking?"	common%3:00:00:familiar:02	common#a#4
Andrew Young, Maynard Jackson, and the mulatto elite  	dismissed	  Lewis and lined up behind Bond.	dismiss%2:32:00::	dismiss#v#1
But we've come to realize that's her and that's just the  	way	  it's going to have to be.	way%1:09:01::	way#n#11
Catastrophic fires destroyed a large  	part	  of the city in 1421 and again in 1452.	part%1:24:00::	part#n#1
Cloning is less personal than cuckoldry, but it  	strikes	  a similar chord: Someone has got the reproductive edge on you.	strike%2:35:03::	strike#v#10
For some Chicanos machismo is an emblem that symbolizes resistance to social and historical  	control	 .	control%1:18:00::	control#n#10
He believed American 77 had experienced  	serious	  electrical or mechanical failure, or both, and was gone.	serious%3:00:00:important:00	serious#a#2
I am utterly, utterly  	serious	  when I say that Buffy the Vampire Slayer and seriously felt and thought-through opposition to the death penalty existing as they do cheek by jowl in my life, I consider them to be perfectly compatible and cohesive elements of a unified world view.	serious%3:00:02::	serious#a#5
It is the consensus of mnemonists that the more bizarre, sharp, or humorous the  	image	 , the more effective the mnemonic.	image%1:06:00::	image#n#3
Other  	common	  allergies include reactions to the proteins found in food , the excrement of mites , and the saliva of	common%3:00:01::	common#a#2
Patients with  	severe	  dependence have a disproportionate share of alcohol-related medical consequences, but it is estimated that such patients generate only a fraction of all alcohol-related problems.	severe%3:00:00:critical:03	severe#a#5
Reversing roles and recasting the behemoth, the spot  	transfers	  the old-world authenticity popularly associated with microbrews to Miller.	transfer%2:35:00::	transfer#v#7
She would know that her WTO colleagues  	wait	  for her in the Snivilling Lounge.	wait%2:42:00::	wait#v#1
so i picked it up and i did some stuff and i entered it into the state fair and i  	won	  a couple ribbons and said well okay but for some reason it just didn't really catch my thing but my hobby of collecting Mickey Mouse	win%2:33:00::	win#v#1
The LAT goes with Jakarta student street riots over a just-passed bill that has raised fears of a coup because it bestows  	new	  emergency powers on the Indonesian military.	new%3:00:00:unaccustomed_to:00	new#a#10
The posturing of hostile neighbors justifies India's own show of  	force	 .	force%1:07:00::	force#n#3
The previous section  	asked	  only about making changes to an existing program, and a well developed one at that.	ask%2:32:02::	ask#v#2
This story is commingled with the story of Charlotte (Charlie) Parkhurst who  	lived	  as a man in California during the latter half of the nineteenth century.	live%2:42:08::	live#v#1
USA Today goes with the latest in a string of encouraging crime stories: the paper's own survey of 1998 homicide statistics shows that the total  	number	  of murders in America's ten largest cities is down 12 percent compared to 1997.	number%1:10:07::	number#n#10
Using a Rad26-GFP fusion protein, we  	found	  that the nuclei of cycling cells contained, on average, six Rad26-GFP dots of low fluorescent intensity.	find%2:39:05::	find#v#13
Watts has succeeded in  	helping	  his district and state--saving an Air Force base from closure and winning $90 million for a new cross-town bridge in Oklahoma City in exchange for his vote for the transportation bill.	help%2:29:00::	help#v#2
Your past contribution provided a direct line of support for local programs that promote health and wellness, strengthen families, invest in our children, help people become self-sufficient, and  	serve	  the elderly and disabled.	serve%2:41:01::	serve#v#10
Youth who are supported and encouraged by both a  	family	  and a society that values them.	family%1:14:02::	family#n#1
